ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210401,cpc,search.naver.com,12,66792,9140,NSA_3dp
20210403,cpc,search.naver.com,0,0,121,NSA_Brand
20210403,cpc,search.naver.com,10,21538,1525,NSA_INJ
20210401,cpc,search.naver.com,36,22858,5267,NSA_SHT
20210403,cpc,search.naver.com,14,20273,16964,NSA_cnc
20210331,cpc,search.naver.com,4,8349,782,NSA_SHT_Mobile
20210402,cpc,search.naver.com,32,29216,5500,NSA_SHT
20210402,cpc,search.naver.com,11,30371,9627,NSA_3dp
20210404,cpc,search.naver.com,0,0,139,NSA_Brand
20210404,cpc,search.naver.com,20,9691,3508,NSA_SHT
20210402,cpc,search.naver.com,1,66,244,NSA_Brand
20210331,cpc,search.naver.com,0,0,40,NSA_3dp_Mobile
20210404,cpc,search.naver.com,10,28930,10219,NSA_3dp
20210331,cpc,search.naver.com,3,4004,2587,NSA_cnc_Mobile
20210331,cpc,search.naver.com,34,44429,19182,NSA_cnc
20210331,cpc,search.naver.com,17,43802,3603,NSA_INJ
20210401,cpc,search.naver.com,6,13222,389,NSA_INJ_Mobile
20210401,cpc,search.naver.com,3,0,9,NSA_Brand_Search
20210401,cpc,search.naver.com,0,0,3,NSA_3dp_Mobile
20210331,cpc,search.naver.com,0,0,341,NSA_Brand
20210401,cpc,search.naver.com,2,2035,845,NSA_cnc_Mobile
20210402,cpc,search.naver.com,2,0,8,NSA_Brand_Search
20210403,cpc,search.naver.com,2,0,4,NSA_Brand_Search
20210404,cpc,search.naver.com,9,12254,1658,NSA_INJ
20210401,cpc,search.naver.com,0,0,238,NSA_Brand
20210404,cpc,search.naver.com,18,36652,16596,NSA_cnc
20210331,cpc,search.naver.com,8,18315,723,NSA_INJ_Mobile
20210331,cpc,search.naver.com,21,75922,11453,NSA_3dp
20210331,cpc,search.naver.com,31,19063,6366,NSA_SHT
20210401,cpc,search.naver.com,3,2937,295,NSA_SHT_Mobile
20210331,cpc,search.naver.com,5,0,14,NSA_Brand_Search
20210403,cpc,search.naver.com,34,16434,3585,NSA_SHT
20210401,cpc,search.naver.com,24,36993,21179,NSA_cnc
20210401,cpc,search.naver.com,18,23364,3415,NSA_INJ
20210403,cpc,search.naver.com,13,31900,9532,NSA_3dp
20210402,cpc,search.naver.com,16,46706,2472,NSA_INJ
20210402,cpc,search.naver.com,26,76835,20595,NSA_cnc
