ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210225,cpc,search.naver.com,13,23595,12679,NSA_3dp
20210224,cpc,search.naver.com,13,32835,2048,NSA_cnc_Mobile
20210224,cpc,search.naver.com,1,330,62,NSA_3dp_Mobile
20210223,cpc,search.naver.com,7,12309,987,NSA_INJ_Mobile
20210224,cpc,search.naver.com,12,25982,36322,NSA_cnc
20210224,cpc,search.naver.com,1,66,530,NSA_Brand
20210222,cpc,search.naver.com,1,77,608,NSA_Brand
20210224,cpc,search.naver.com,16,13310,2714,NSA_INJ
20210222,cpc,search.naver.com,24,59631,44902,NSA_cnc
20210222,cpc,search.naver.com,22,24530,3135,NSA_INJ
20210222,cpc,search.naver.com,9,20603,2253,NSA_cnc_Mobile
20210222,cpc,search.naver.com,1,308,63,NSA_3dp_Mobile
20210225,cpc,search.naver.com,3,7678,1294,NSA_INJ_Mobile
20210223,cpc,search.naver.com,25,49841,13629,NSA_3dp
20210223,cpc,search.naver.com,0,0,569,NSA_Brand
20210225,cpc,search.naver.com,1,66,447,NSA_Brand
20210222,cpc,search.naver.com,17,18634,15525,NSA_3dp
20210225,cpc,search.naver.com,0,0,53,NSA_3dp_Mobile
20210225,cpc,search.naver.com,8,15851,1962,NSA_cnc_Mobile
20210223,cpc,search.naver.com,32,45309,53519,NSA_cnc
20210222,cpc,search.naver.com,11,21329,989,NSA_INJ_Mobile
20210223,cpc,search.naver.com,18,31702,2967,NSA_INJ
20210225,cpc,search.naver.com,28,55077,35689,NSA_cnc
20210225,cpc,search.naver.com,13,15752,2761,NSA_INJ
20210223,cpc,search.naver.com,0,0,52,NSA_3dp_Mobile
20210223,cpc,search.naver.com,8,16808,2225,NSA_cnc_Mobile
20210224,cpc,search.naver.com,17,27214,12775,NSA_3dp
20210224,cpc,search.naver.com,10,15400,1219,NSA_INJ_Mobile
