ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210317,cpc,search.naver.com,13,18271,796,NSA_INJ_Mobile
20210320,cpc,search.naver.com,24,15796,3706,NSA_SHT
20210320,cpc,search.naver.com,3,5434,1471,NSA_INJ_Mobile
20210320,cpc,search.naver.com,9,31449,9669,NSA_3dp
20210318,cpc,search.naver.com,5,9526,905,NSA_INJ_Mobile
20210315,cpc,search.naver.com,7,7414,1148,NSA_SHT_Mobile
20210320,cpc,search.naver.com,1,77,257,NSA_Brand
20210319,cpc,search.naver.com,5,4719,719,NSA_SHT_Mobile
20210321,cpc,search.naver.com,9,14179,1862,NSA_INJ
20210321,cpc,search.naver.com,1,0,3,NSA_Brand_Search
20210316,cpc,search.naver.com,8,0,25,NSA_Brand_Search
20210320,cpc,search.naver.com,1,0,1,NSA_Brand_Search
20210321,cpc,search.naver.com,20,27830,17881,NSA_cnc
20210317,cpc,search.naver.com,10,0,21,NSA_Brand_Search
20210316,cpc,search.naver.com,8,8250,1061,NSA_SHT_Mobile
20210315,cpc,search.naver.com,7,0,16,NSA_Brand_Search
20210321,cpc,search.naver.com,4,4268,844,NSA_SHT_Mobile
20210317,cpc,search.naver.com,1,77,250,NSA_Brand
20210316,cpc,search.naver.com,29,67562,4102,NSA_INJ
20210318,cpc,search.naver.com,25,34683,3832,NSA_INJ
20210316,cpc,search.naver.com,34,55099,62990,NSA_cnc
20210315,cpc,search.naver.com,1,110,1940,NSA_cnc_Mobile
20210318,cpc,search.naver.com,33,57266,25597,NSA_cnc
20210321,cpc,search.naver.com,0,0,206,NSA_Brand
20210315,cpc,search.naver.com,0,0,21,NSA_3dp_Mobile
20210317,cpc,search.naver.com,37,41382,6981,NSA_SHT
20210319,cpc,search.naver.com,21,15994,5815,NSA_SHT
20210315,cpc,search.naver.com,29,28149,33290,NSA_cnc
20210319,cpc,search.naver.com,1,363,36,NSA_3dp_Mobile
20210319,cpc,search.naver.com,7,28567,1466,NSA_cnc_Mobile
20210317,cpc,search.naver.com,21,82423,11564,NSA_3dp
20210319,cpc,search.naver.com,16,40403,10312,NSA_3dp
20210316,cpc,search.naver.com,2,1881,2179,NSA_cnc_Mobile
20210316,cpc,search.naver.com,1,66,218,NSA_Brand
20210321,cpc,search.naver.com,8,13948,1670,NSA_cnc_Mobile
20210321,cpc,search.naver.com,1,363,95,NSA_3dp_Mobile
20210315,cpc,search.naver.com,26,38786,4064,NSA_INJ
20210316,cpc,search.naver.com,0,0,40,NSA_3dp_Mobile
20210321,cpc,search.naver.com,15,23067,1156,NSA_INJ_Mobile
20210318,cpc,search.naver.com,30,14795,6700,NSA_SHT
20210316,cpc,search.naver.com,43,36630,7214,NSA_SHT
20210316,cpc,search.naver.com,9,14652,1497,NSA_INJ_Mobile
20210319,cpc,search.naver.com,5,9823,1090,NSA_INJ_Mobile
20210318,cpc,search.naver.com,30,77011,11228,NSA_3dp
20210316,cpc,search.naver.com,19,39413,12322,NSA_3dp
20210319,cpc,search.naver.com,19,40095,3230,NSA_INJ
20210317,cpc,search.naver.com,19,45133,3950,NSA_INJ
20210315,cpc,search.naver.com,3,231,274,NSA_Brand
20210315,cpc,search.naver.com,20,63074,13664,NSA_3dp
20210318,cpc,search.naver.com,3,3366,899,NSA_SHT_Mobile
20210315,cpc,search.naver.com,8,14520,981,NSA_INJ_Mobile
20210318,cpc,search.naver.com,4,0,15,NSA_Brand_Search
20210320,cpc,search.naver.com,5,5797,803,NSA_SHT_Mobile
20210319,cpc,search.naver.com,3,0,13,NSA_Brand_Search
20210317,cpc,search.naver.com,6,5489,856,NSA_SHT_Mobile
20210315,cpc,search.naver.com,38,33242,7264,NSA_SHT
20210319,cpc,search.naver.com,40,55374,24912,NSA_cnc
20210319,cpc,search.naver.com,1,66,257,NSA_Brand
20210317,cpc,search.naver.com,33,50567,37314,NSA_cnc
20210320,cpc,search.naver.com,11,15598,1691,NSA_INJ
20210320,cpc,search.naver.com,17,45980,19398,NSA_cnc
20210318,cpc,search.naver.com,6,9614,1873,NSA_cnc_Mobile
20210321,cpc,search.naver.com,23,10549,3586,NSA_SHT
20210318,cpc,search.naver.com,0,0,34,NSA_3dp_Mobile
20210317,cpc,search.naver.com,0,0,33,NSA_3dp_Mobile
20210318,cpc,search.naver.com,2,132,258,NSA_Brand
20210320,cpc,search.naver.com,3,1089,98,NSA_3dp_Mobile
20210321,cpc,search.naver.com,19,36850,11297,NSA_3dp
20210320,cpc,search.naver.com,13,25817,1172,NSA_cnc_Mobile
20210317,cpc,search.naver.com,10,21912,2008,NSA_cnc_Mobile
