ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210114,cpc,search.naver.com,12,18590,2752,NSA_INJ
20210113,cpc,search.naver.com,0,0,39,NSA_3dp_Mobile
20210113,cpc,search.naver.com,23,70389,3400,NSA_cnc_Mobile
20210114,cpc,search.naver.com,39,59499,38135,NSA_cnc
20210114,cpc,search.naver.com,8,15972,548,NSA_INJ_Mobile
20210114,cpc,search.naver.com,10,770,342,NSA_Brand
20210112,cpc,search.naver.com,4,308,397,NSA_Brand
20210113,cpc,search.naver.com,21,50545,13763,NSA_3dp
20210112,cpc,search.naver.com,12,12738,1745,NSA_INJ
20210112,cpc,search.naver.com,5,11528,320,NSA_INJ_Mobile
20210112,cpc,search.naver.com,40,45804,43018,NSA_cnc
20210113,cpc,search.naver.com,1,77,369,NSA_Brand
20210113,cpc,search.naver.com,30,47465,2744,NSA_INJ
20210112,cpc,search.naver.com,24,88088,3164,NSA_cnc_Mobile
20210112,cpc,search.naver.com,3,660,54,NSA_3dp_Mobile
20210113,cpc,search.naver.com,41,78463,38777,NSA_cnc
20210112,cpc,search.naver.com,19,44990,14048,NSA_3dp
20210114,cpc,search.naver.com,24,63327,14414,NSA_3dp
20210114,cpc,search.naver.com,24,67122,3221,NSA_cnc_Mobile
20210114,cpc,search.naver.com,0,0,77,NSA_3dp_Mobile
20210113,cpc,search.naver.com,8,17886,405,NSA_INJ_Mobile
