ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210127,cpc,search.naver.com,24,53218,13625,NSA_3dp
20210129,cpc,search.naver.com,14,38456,13275,NSA_3dp
20210129,cpc,search.naver.com,5,385,234,NSA_Brand
20210130,cpc,search.naver.com,10,9669,1108,NSA_INJ
20210130,cpc,search.naver.com,6,3630,20047,NSA_cnc
20210130,cpc,search.naver.com,3,231,180,NSA_Brand
20210128,cpc,search.naver.com,6,17556,2088,NSA_cnc_Mobile
20210128,cpc,search.naver.com,30,58817,32914,NSA_cnc
20210130,cpc,search.naver.com,11,13354,882,NSA_INJ_Mobile
20210128,cpc,search.naver.com,3,1166,83,NSA_3dp_Mobile
20210131,cpc,search.naver.com,18,41987,11253,NSA_3dp
20210127,cpc,search.naver.com,3,924,83,NSA_3dp_Mobile
20210128,cpc,search.naver.com,18,29139,2991,NSA_INJ
20210127,cpc,search.naver.com,9,26290,2181,NSA_cnc_Mobile
20210128,cpc,search.naver.com,2,154,347,NSA_Brand
20210129,cpc,search.naver.com,14,27808,1258,NSA_INJ_Mobile
20210131,cpc,search.naver.com,24,55187,1965,NSA_cnc_Mobile
20210131,cpc,search.naver.com,1,297,150,NSA_3dp_Mobile
20210131,cpc,search.naver.com,0,0,312,NSA_Brand
20210127,cpc,search.naver.com,0,0,369,NSA_Brand
20210129,cpc,search.naver.com,0,0,43,NSA_3dp_Mobile
20210131,cpc,search.naver.com,12,17028,805,NSA_INJ_Mobile
20210129,cpc,search.naver.com,7,13739,1808,NSA_cnc_Mobile
20210127,cpc,search.naver.com,10,19987,1283,NSA_INJ_Mobile
20210129,cpc,search.naver.com,26,53229,29769,NSA_cnc
20210127,cpc,search.naver.com,43,84799,37892,NSA_cnc
20210130,cpc,search.naver.com,3,825,115,NSA_3dp_Mobile
20210129,cpc,search.naver.com,14,20152,2639,NSA_INJ
20210127,cpc,search.naver.com,17,27390,3237,NSA_INJ
20210130,cpc,search.naver.com,12,29205,1723,NSA_cnc_Mobile
20210128,cpc,search.naver.com,19,31691,1733,NSA_INJ_Mobile
20210130,cpc,search.naver.com,9,9471,9935,NSA_3dp
20210131,cpc,search.naver.com,3,3806,1184,NSA_INJ
20210128,cpc,search.naver.com,25,93181,14297,NSA_3dp
20210131,cpc,search.naver.com,13,34276,20426,NSA_cnc
