ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210410,cpc,search.naver.com,0,0,117,NSA_Brand
20210405,cpc,search.naver.com,1,66,369,NSA_Brand
20210409,cpc,search.naver.com,1,77,310,NSA_Brand
20210411,cpc,search.naver.com,2,143,119,NSA_Brand
20210411,cpc,search.naver.com,19,8085,3048,NSA_SHT
20210406,cpc,search.naver.com,28,56793,9213,NSA_cnc
20210408,cpc,search.naver.com,19,34551,7952,NSA_cnc
20210408,cpc,search.naver.com,1,77,363,NSA_Brand
20210406,cpc,search.naver.com,18,48444,2155,NSA_INJ
20210408,cpc,search.naver.com,23,36784,3407,NSA_INJ
20210411,cpc,search.naver.com,11,41525,8844,NSA_3dp
20210405,cpc,search.naver.com,21,50226,2960,NSA_INJ
20210410,cpc,search.naver.com,4,3157,1408,NSA_INJ
20210407,cpc,search.naver.com,15,63250,6253,NSA_3dp
20210409,cpc,search.naver.com,8,33506,9047,NSA_3dp
20210410,cpc,search.naver.com,28,46002,58229,NSA_DSN
20210405,cpc,search.naver.com,27,49170,16509,NSA_cnc
20210407,cpc,search.naver.com,32,22451,6305,NSA_SHT
20210409,cpc,search.naver.com,20,9757,5493,NSA_SHT
20210410,cpc,search.naver.com,10,26235,4510,NSA_cnc
20210408,cpc,search.naver.com,20,58454,9598,NSA_3dp
20210406,cpc,search.naver.com,14,56012,10197,NSA_3dp
20210411,cpc,search.naver.com,7,5742,1439,NSA_INJ
20210408,cpc,search.naver.com,37,20053,6379,NSA_SHT
20210406,cpc,search.naver.com,24,20581,5312,NSA_SHT
20210411,cpc,search.naver.com,13,29766,4937,NSA_cnc
20210407,cpc,search.naver.com,2,143,278,NSA_Brand
20210411,cpc,search.naver.com,24,47894,71734,NSA_DSN
20210410,cpc,search.naver.com,8,4279,3006,NSA_SHT
20210409,cpc,search.naver.com,18,39116,7850,NSA_cnc
20210407,cpc,search.naver.com,15,28358,7693,NSA_cnc
20210405,cpc,search.naver.com,32,27643,4245,NSA_SHT
20210409,cpc,search.naver.com,9,14102,23650,NSA_DSN
20210410,cpc,search.naver.com,8,22473,7428,NSA_3dp
20210405,cpc,search.naver.com,25,68486,12462,NSA_3dp
20210409,cpc,search.naver.com,18,31339,3014,NSA_INJ
20210407,cpc,search.naver.com,24,48004,3015,NSA_INJ
20210406,cpc,search.naver.com,1,66,326,NSA_Brand
