ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210114,cpc,search.naver.com,12,18590,2752,NSA_INJ
20210103,cpc,search.naver.com,32,55132,54505,NSA_3dp
20210113,cpc,search.naver.com,0,0,39,NSA_3dp_Mobile
20210101,cpc,search.naver.com,33,88341,38573,NSA_cnc
20210113,cpc,search.naver.com,23,70389,3400,NSA_cnc_Mobile
20210114,cpc,search.naver.com,39,59499,38135,NSA_cnc
20210114,cpc,search.naver.com,8,15972,548,NSA_INJ_Mobile
20210102,cpc,search.naver.com,55,96514,38572,NSA_cnc
20210110,cpc,search.naver.com,0,0,126,NSA_3dp_Mobile
20210114,cpc,search.naver.com,10,770,342,NSA_Brand
20210107,cpc,search.naver.com,26,2002,454,NSA_Brand
20210101,cpc,search.naver.com,0,0,364,NSA_Brand
20210110,cpc,search.naver.com,30,63206,2295,NSA_cnc_Mobile
20210112,cpc,search.naver.com,4,308,397,NSA_Brand
20210104,cpc,search.naver.com,45,105677,37627,NSA_cnc
20210111,cpc,search.naver.com,30,52745,38307,NSA_cnc
20210109,cpc,search.naver.com,1,77,102,NSA_3dp_Mobile
20210109,cpc,search.naver.com,26,63151,2159,NSA_cnc_Mobile
20210106,cpc,search.naver.com,7,19734,975,NSA_cnc_Mobile
20210113,cpc,search.naver.com,21,50545,13763,NSA_3dp
20210108,cpc,search.naver.com,33,74723,13199,NSA_3dp
20210106,cpc,search.naver.com,37,81543,47717,NSA_3dp
20210106,cpc,search.naver.com,0,0,18,NSA_3dp_Mobile
20210105,cpc,search.naver.com,38,103389,66409,NSA_3dp
20210110,cpc,search.naver.com,25,71566,11044,NSA_3dp
20210112,cpc,search.naver.com,12,12738,1745,NSA_INJ
20210112,cpc,search.naver.com,5,11528,320,NSA_INJ_Mobile
20210112,cpc,search.naver.com,40,45804,43018,NSA_cnc
20210113,cpc,search.naver.com,1,77,369,NSA_Brand
20210109,cpc,search.naver.com,13,36630,24709,NSA_cnc
20210107,cpc,search.naver.com,39,77814,37321,NSA_cnc
20210106,cpc,search.naver.com,54,4158,624,NSA_Brand
20210113,cpc,search.naver.com,30,47465,2744,NSA_INJ
20210111,cpc,search.naver.com,33,99693,16104,NSA_3dp
20210104,cpc,search.naver.com,48,115291,71804,NSA_3dp
20210112,cpc,search.naver.com,24,88088,3164,NSA_cnc_Mobile
20210106,cpc,search.naver.com,53,99209,33168,NSA_cnc
20210108,cpc,search.naver.com,26,28380,35831,NSA_cnc
20210112,cpc,search.naver.com,3,660,54,NSA_3dp_Mobile
20210113,cpc,search.naver.com,41,78463,38777,NSA_cnc
20210105,cpc,search.naver.com,9,693,445,NSA_Brand
20210110,cpc,search.naver.com,17,26202,26032,NSA_cnc
20210110,cpc,search.naver.com,1,77,369,NSA_Brand
20210103,cpc,search.naver.com,1,77,323,NSA_Brand
20210105,cpc,search.naver.com,44,104621,34063,NSA_cnc
20210111,cpc,search.naver.com,30,68981,3229,NSA_cnc_Mobile
20210109,cpc,search.naver.com,1,77,442,NSA_Brand
20210107,cpc,search.naver.com,21,52888,13906,NSA_3dp
20210109,cpc,search.naver.com,15,61457,9853,NSA_3dp
20210112,cpc,search.naver.com,19,44990,14048,NSA_3dp
20210111,cpc,search.naver.com,3,1056,62,NSA_3dp_Mobile
20210103,cpc,search.naver.com,58,82489,40937,NSA_cnc
20210108,cpc,search.naver.com,22,61006,2671,NSA_cnc_Mobile
20210108,cpc,search.naver.com,0,0,59,NSA_3dp_Mobile
20210114,cpc,search.naver.com,24,63327,14414,NSA_3dp
20210107,cpc,search.naver.com,0,0,39,NSA_3dp_Mobile
20210114,cpc,search.naver.com,24,67122,3221,NSA_cnc_Mobile
20210101,cpc,search.naver.com,13,28424,58397,NSA_3dp
20210114,cpc,search.naver.com,0,0,77,NSA_3dp_Mobile
20210107,cpc,search.naver.com,21,67122,2272,NSA_cnc_Mobile
20210113,cpc,search.naver.com,8,17886,405,NSA_INJ_Mobile
20210102,cpc,search.naver.com,0,0,315,NSA_Brand
20210102,cpc,search.naver.com,18,38511,54623,NSA_3dp
20210111,cpc,search.naver.com,2,154,379,NSA_Brand
20210104,cpc,search.naver.com,2,154,307,NSA_Brand
20210108,cpc,search.naver.com,2,154,373,NSA_Brand
