ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210322,cpc,search.naver.com,19,24640,19359,NSA_cnc
20210324,cpc,search.naver.com,10,13475,2144,NSA_cnc_Mobile
20210322,cpc,search.naver.com,34,55737,3831,NSA_INJ
20210324,cpc,search.naver.com,3,594,34,NSA_3dp_Mobile
20210322,cpc,search.naver.com,5,7139,787,NSA_SHT_Mobile
20210323,cpc,search.naver.com,25,54065,11875,NSA_3dp
20210324,cpc,search.naver.com,7,0,20,NSA_Brand_Search
20210323,cpc,search.naver.com,4,2684,764,NSA_INJ_Mobile
20210325,cpc,search.naver.com,8,0,23,NSA_Brand_Search
20210323,cpc,search.naver.com,57,58993,7041,NSA_SHT
20210323,cpc,search.naver.com,4,0,15,NSA_Brand_Search
20210322,cpc,search.naver.com,4,0,12,NSA_Brand_Search
20210325,cpc,search.naver.com,15,40183,11108,NSA_3dp
20210322,cpc,search.naver.com,7,17754,2303,NSA_cnc_Mobile
20210322,cpc,search.naver.com,1,121,65,NSA_3dp_Mobile
20210324,cpc,search.naver.com,12,16170,699,NSA_SHT_Mobile
20210325,cpc,search.naver.com,29,24167,5482,NSA_SHT
20210325,cpc,search.naver.com,5,7579,632,NSA_INJ_Mobile
20210324,cpc,search.naver.com,25,48136,36365,NSA_cnc
20210324,cpc,search.naver.com,15,15411,3560,NSA_INJ
20210325,cpc,search.naver.com,36,59576,19995,NSA_cnc
20210324,cpc,search.naver.com,0,0,365,NSA_Brand
20210322,cpc,search.naver.com,0,0,371,NSA_Brand
20210323,cpc,search.naver.com,3,6380,756,NSA_SHT_Mobile
20210325,cpc,search.naver.com,0,0,41,NSA_3dp_Mobile
20210325,cpc,search.naver.com,25,62458,3158,NSA_INJ
20210325,cpc,search.naver.com,10,16291,1752,NSA_cnc_Mobile
20210324,cpc,search.naver.com,24,65593,12815,NSA_3dp
20210322,cpc,search.naver.com,5,6270,1072,NSA_INJ_Mobile
20210324,cpc,search.naver.com,41,27434,6857,NSA_SHT
20210323,cpc,search.naver.com,1,66,266,NSA_Brand
20210325,cpc,search.naver.com,2,143,433,NSA_Brand
20210322,cpc,search.naver.com,27,58069,16496,NSA_3dp
20210325,cpc,search.naver.com,4,6325,760,NSA_SHT_Mobile
20210323,cpc,search.naver.com,0,0,33,NSA_3dp_Mobile
20210323,cpc,search.naver.com,11,25025,2120,NSA_cnc_Mobile
20210322,cpc,search.naver.com,46,53020,7249,NSA_SHT
20210323,cpc,search.naver.com,30,63921,17296,NSA_cnc
20210324,cpc,search.naver.com,5,8558,674,NSA_INJ_Mobile
20210323,cpc,search.naver.com,39,93643,2999,NSA_INJ
