ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20201108,cpc,search.naver.com,1,693,8875,NSA_contents
20201104,cpc,search.naver.com,25,40161,25838,NSA
20201105,cpc,search.naver.com,4,5555,11990,NSA_contents
20201108,cpc,search.naver.com,17,29997,22101,NSA
20201107,cpc,search.naver.com,5,7579,9849,NSA_contents
20201109,cpc,search.naver.com,4,3773,12222,NSA_contents
20201104,cpc,search.naver.com,2,3542,17046,NSA_contents
20201105,cpc,search.naver.com,32,53614,33773,NSA
20201106,cpc,search.naver.com,5,9427,11513,NSA_contents
20201101,cpc,search.naver.com,21,22330,45698,NSA
20201109,cpc,search.naver.com,37,68387,34976,NSA
20201111,cpc,search.naver.com,22,28721,27398,NSA
20201111,cpc,search.naver.com,4,2882,15662,NSA_contents
20201102,cpc,search.naver.com,9,7293,21366,NSA_contents
20201103,cpc,search.naver.com,41,59466,28261,NSA
20201107,cpc,search.naver.com,22,27588,23240,NSA
20201106,cpc,search.naver.com,30,45023,33507,NSA
20201101,cpc,search.naver.com,4,5434,9406,NSA_contents
20201102,cpc,search.naver.com,27,36740,32850,NSA
20201110,cpc,search.naver.com,9,8085,12202,NSA_contents
20201103,cpc,search.naver.com,3,2717,13622,NSA_contents
20201110,cpc,search.naver.com,30,55858,29762,NSA
