keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
피규어만드는법,10,70,17,0,,0,0.0,0.0,0.0,저관련비인기
LCD3D프린터,10,70,20,0,,0,0.0,0.0,0.0,저관련비인기
ULTIMAKER2+,10,70,3,0,,0,0.0,0.0,0.0,저관련비인기
3D회사,10,740,26,0,,0,0.0,0.0,0.0,저관련비인기
3D프린터박람회,10,70,12,0,,0,0.0,0.0,0.0,저관련비인기
CAD작업,10,120,16,0,,0,0.0,0.0,0.0,저관련비인기
모형제작비용,10,280,0,0,,0,0.0,0.0,0.0,저관련비인기
샘플만들기,10,70,7,0,,0,0.0,0.0,0.0,저관련비인기
리플리케이터,10,70,4,0,,0,0.0,0.0,0.0,저관련비인기
Z18,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
3D프린터제조,10,190,15,1,181.0,181,0.0,0.0,0.0,고관련비인기
유니버셜레이져,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
국내3D프린터,10,130,31,0,,0,0.0,0.0,0.0,저관련비인기
용기인쇄,10,210,44,0,,0,0.0,0.0,0.0,저관련비인기
ULTIMAKER2,10,70,1,1,70.0,70,0.0,0.0,0.0,저관련비인기
제트프린터,10,80,10,0,,0,0.0,0.0,0.0,저관련비인기
투명3D프린트,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
3D4U,1,430,54,0,,0,1.1428571428571432,0.16666666666666674,0.0,저관련인기
3DI,2,70,138,0,,0,0.0,0.0,0.0,저관련인기
3DP-110F,10,70,10,0,,0,0.0,0.0,0.0,저관련비인기
3DPPT,10,70,26,0,,0,0.0,0.0,0.0,저관련비인기
3D글룩,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
3D마우스,8,100,169,0,,0,0.2857142857142857,0.10344827586206896,0.0,저관련인기
3D메탈프린터,10,120,8,1,70.0,70,0.0,0.0,0.0,저관련비인기
3D측정장비,10,90,0,0,,0,0.0,0.0,0.0,저관련비인기
3D프린트기,5,500,61,0,,0,0.2903225806451613,0.27777777777777773,0.0,저관련인기
3D프린팅모델,10,70,7,0,,0,0.0,0.0,0.0,저관련비인기
3D프린팅소재,10,70,19,0,,0,0.0,0.0,0.0,저관련비인기
CAD3D,7,930,161,0,,0,0.1492537313432836,0.07758620689655171,0.0,저관련인기
SLM프린터,10,70,9,0,,0,0.0,0.0,0.0,저관련비인기
대구3D,10,460,37,0,,0,0.0,0.0,0.0,저관련비인기
왁스프린터,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
EOS3DPRINTER,10,70,3,0,,0,0.0,0.0,0.0,저관련비인기
폴리젯,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
일산오토캐드,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
