keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
금속절단,1390,1180,940,820,640,510,480,420,360,300
워터젯가공,2620,2500,2390,2220,2010,1720,1470,1320,1100,770
워터젯,6400,5750,5290,4860,4130,3600,2900,2270,1400,890
금속절단기,4040,2170,1890,1680,1480,1310,1210,1110,1010,970
파이프밴딩,920,780,690,580,520,470,420,380,350,310
절곡,4060,3490,3290,3090,2850,2520,2270,2160,2080,1980
밴딩,1040,990,960,930,900,850,820,790,760,730
철판절곡,2310,2140,1940,1780,1640,1510,1370,1160,940,760
디에스워터젯,70,70,70,70,70,70,70,70,70,70
스텐절곡,1260,1030,860,770,700,640,580,500,430,370
구로철판,630,530,460,400,340,250,180,140,110,100
철판절단,2670,2610,2460,2350,2270,2200,2140,2020,1930,1820
파이프벤딩,1600,1500,1300,980,810,740,690,630,570,530
벤딩,1550,1460,1390,1350,1320,1300,1260,1210,1150,1070
POM가공,4700,4460,2780,2510,2070,1790,1500,1330,1180,1030
금속샤링,640,70,70,70,70,70,70,70,70,70
철판가공,4650,3520,3350,3050,2910,2760,2580,2440,2300,2180
워터젯절단,2570,2420,2190,1990,1790,1560,1340,740,360,170
알루미늄절곡,960,840,730,650,580,520,470,420,360,320
가스켓가공,720,330,280,240,110,70,70,70,70,70
구로철판가공,740,350,330,70,70,70,70,70,70,70
대전철판가공,430,100,90,70,70,70,70,70,70,70
알루미늄절단,4030,3530,3420,3180,2950,2670,2420,2180,1970,1700
절단절곡,4140,3340,3060,2400,2120,1940,1750,1620,1500,1380
플라스틱절단,1030,860,740,590,510,400,300,250,210,190
테프론가공,4520,4390,3900,3660,3430,3130,2800,2440,2160,1870
벤치레스,1980,690,360,280,250,210,180,120,90,70
구미가공,1330,420,80,70,70,70,70,70,70,70
H-BEAM가공,300,110,80,70,70,70,70,70,70,70
WATERJET,850,690,570,510,440,380,330,290,240,220
철판밴딩,800,530,420,260,230,210,170,130,100,90
DS워터젯,70,70,70,70,70,70,70,70,70,70
서스파이프,3310,1050,690,640,560,520,480,450,410,310
티타늄가공,8360,7330,6440,5600,4850,3980,3230,2620,2300,1970
금속절곡,600,570,550,510,470,420,350,290,230,160
알루미늄밴딩,860,540,400,300,250,220,180,140,110,90
스텐절단,1110,1030,980,950,930,900,860,810,740,680
고주파벤딩,610,460,100,80,70,70,70,70,70,70
스테인리스강,370,310,260,220,190,160,130,120,100,90
정밀판금,1770,1490,1380,1250,1200,1170,1120,1060,1030,990
동판가공,700,550,410,310,270,210,150,130,80,70
S20C,590,390,350,310,270,240,230,190,140,80
V컷팅,3550,2160,1100,870,720,620,520,390,270,190
SUM24,260,220,200,120,110,70,70,70,70,70
흥성철강,250,230,70,70,70,70,70,70,70,70
레이져가공,3570,3340,3080,3040,2830,2720,2210,2070,2030,2000
환봉,6340,4650,2460,1890,1630,1430,1110,730,590,510
SUM22,290,210,150,80,70,70,70,70,70,70
김포워터젯,440,400,120,70,70,70,70,70,70,70
베어링강,420,310,270,230,200,170,100,70,70,70
DSWATER,1470,990,580,400,280,140,70,70,70,70
축가공,540,250,130,110,90,80,80,70,70,70
철가공,1090,810,540,380,300,240,190,130,100,90
파이프밴딩기,1790,1650,1320,1280,1230,1140,1020,840,770,700
파이프절곡,1060,890,550,510,450,350,240,190,150,130
파이프절단,6140,6010,5750,5390,5050,4790,4520,4320,4110,3810
철판벤딩,1180,840,480,350,300,270,220,200,180,160
STS가공,1000,490,430,70,70,70,70,70,70,70
화성워터젯,70,70,70,70,70,70,70,70,70,70
워터젯컷팅,270,220,190,70,70,70,70,70,70,70
티타늄절단,410,370,280,70,70,70,70,70,70,70
스텐레스절단,1620,1540,1390,1220,1110,910,760,580,420,310
워터젯커팅,260,150,110,70,70,70,70,70,70,70
아산절곡,200,160,70,70,70,70,70,70,70,70
SUS절단,1870,1410,1230,850,590,490,430,400,320,220
금속CNC,1110,910,640,550,410,310,220,210,190,160
금속컷팅,1610,1210,680,500,460,380,310,270,240,210
스테인레스커팅,640,100,70,70,70,70,70,70,70,70
스텐앵글,1110,980,890,810,750,670,600,490,390,340
공장철골,520,70,70,70,70,70,70,70,70,70
경량철구조,570,430,330,270,150,90,80,70,70,70
건축브라켓,140,80,70,70,70,70,70,70,70,70
스텐프레임,440,320,240,200,160,130,100,90,70,70
철재공장,120,70,70,70,70,70,70,70,70,70
철골작업,21720,1850,710,540,460,390,320,250,190,140
철골업체,1230,750,170,80,70,70,70,70,70,70
철골가공,550,460,200,160,100,80,70,70,70,70
절곡절단,640,100,70,70,70,70,70,70,70,70
빔제작,460,370,250,210,170,130,120,90,80,70
금속프레임,440,350,310,280,220,190,170,120,110,100
실리콘압출기,240,190,170,90,70,70,70,70,70,70
수압절단,630,520,490,480,430,420,330,300,90,70
금속부품제작,140,70,70,70,70,70,70,70,70,70
평철절곡,420,170,90,70,70,70,70,70,70,70
S45C철판,560,70,70,70,70,70,70,70,70,70
무늬철판,2400,1930,1540,1190,690,410,330,280,230,200
정밀절곡,680,70,70,70,70,70,70,70,70,70
