keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
고무플라스틱,690,340,290,70,70,70,70,70,70,70
고무사출업체,70,70,70,70,70,70,70,70,70,70
고무사출,340,290,250,220,200,190,170,150,130,120
고무금형,2850,2470,2130,1700,1320,1090,960,850,750,680
경주디자인,570,370,170,100,80,70,70,70,70,70
게또바시금형,110,80,70,70,70,70,70,70,70,70
개발회사,1600,1410,1200,1090,980,750,600,530,490,460
개발의뢰,4730,2950,2010,1850,1710,1540,1420,1300,1180,1060
개발용역,1720,1630,1540,1400,1290,1200,1100,990,890,830
개발외주업체,120,80,80,70,70,70,70,70,70,70
개발업체,3750,2790,2290,1870,1430,1170,1030,930,850,780
개발디자인,1030,340,220,70,70,70,70,70,70,70
개발견적,5440,1900,880,520,400,290,190,180,170,160
강화플라스틱,370,320,280,240,210,190,170,160,140,120
간이금형,590,540,490,420,320,250,180,140,120,110
가전제품디자인,4410,3990,3600,3350,3140,2870,2740,2530,2330,2200
가전제품개발,230,220,180,170,160,160,130,110,70,70
QDM업체,150,110,70,70,70,70,70,70,70,70
QDM소프트몰드,70,70,70,70,70,70,70,70,70,70
QDM사출,120,100,90,70,70,70,70,70,70,70
QDM금형,630,470,410,340,260,190,140,120,110,100
QDM,1480,1430,1300,920,590,410,320,220,110,80
PVC사출업체,100,70,70,70,70,70,70,70,70,70
PVC사출,240,200,150,130,120,100,90,70,70,70
PVC금형,340,70,70,70,70,70,70,70,70,70
PP용기제작,270,140,100,70,70,70,70,70,70,70
PP사출,260,230,210,70,70,70,70,70,70,70
PPS사출,120,90,80,70,70,70,70,70,70,70
PE사출,180,120,100,70,70,70,70,70,70,70
PET제조업체,310,300,280,70,70,70,70,70,70,70
PET용기제작,620,580,510,440,420,390,360,330,280,230
PET용기업체,460,340,310,200,190,180,160,120,110,100
PET상자제작,1080,1000,750,430,230,200,140,90,90,80
PET병제조업체,620,570,540,510,450,330,240,210,170,130
PET병제작,790,570,520,440,390,350,330,300,290,250
PEEK사출,600,160,110,70,70,70,70,70,70,70
PC사출,290,190,170,70,70,70,70,70,70,70
PCB제조,2570,2500,2380,2270,2110,1980,1890,1790,1670,1520
PCB제작,3550,3150,2570,2430,2180,2000,1850,1700,1590,1470
PCB소량제작,90,70,70,70,70,70,70,70,70,70
PCB설계업체,960,530,450,380,380,320,190,170,160,150
PCB설계,5010,4790,4710,4620,4480,4250,4000,3700,3370,3070
PCB생산업체,170,130,120,70,70,70,70,70,70,70
PCB생산,1610,1430,1360,1240,1090,940,750,650,530,430
PCB샘플제작,640,540,380,250,210,170,160,140,100,80
PCB샘플,2390,2010,1910,1870,1840,1740,1470,1240,1120,1030
PCB기판제작,300,230,220,190,160,140,80,70,70,70
PCB금형,130,110,70,70,70,70,70,70,70,70
PCB견적,110,100,100,100,90,90,80,70,70,70
PCB개발업체,170,120,70,70,70,70,70,70,70,70
OEM회사,90,90,80,70,70,70,70,70,70,70
OEM제조,650,610,600,580,550,500,450,390,320,230
OEM업체,1290,1240,1170,1080,990,900,760,600,450,340
OEM생산업체,120,110,100,70,70,70,70,70,70,70
OEM생산,810,770,710,660,620,570,540,500,460,420
OEM공장,400,330,270,200,130,90,80,70,70,70
IOT제품개발,250,230,210,70,70,70,70,70,70,70
ABS제조,150,70,70,70,70,70,70,70,70,70
ABS사출,320,260,230,200,190,140,100,70,70,70
