연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
금형공부,10,0.5,5.0,< 10,1.0,20.0,2,중간
사출금형설계기사,90,0.3,0.35,90,0.0,0.0,14,중간
CATIA,1490,5.6,0.42,680,10.3,1.64,15,높음
기구설계,1080,14.9,1.61,510,9.0,1.9,15,높음
컴퓨터응용선반기능사,760,1.6,0.25,1310,5.8,0.51,15,높음
3D프린트,1230,15.1,1.3,1370,40.0,3.09,15,높음
기계설계프로그램,30,0.3,1.3,30,0.3,1.09,6,중간
CNC선반교육,20,1.5,6.55,40,1.3,3.18,7,중간
CIMATRON,50,1.5,2.8,30,0.0,0.0,6,중간
3D스캐너,1900,23.8,1.35,1580,34.3,2.36,15,높음
3D모델링사이트,180,0.1,0.04,30,0.0,0.0,15,높음
3D프린터기,240,2.3,1.01,650,16.4,2.72,15,높음
3D목업,60,1.6,2.69,20,2.7,10.26,15,높음
홈스타일링,1220,31.9,2.79,4450,213.8,5.14,15,높음
5축가공,170,4.5,2.75,100,1.5,1.5,15,높음
대형3D프린팅,10,1.5,11.29,< 10,0.0,0.0,15,높음
사출업체,120,5.2,4.42,120,3.0,2.55,15,높음
웹디자인,5330,19.8,0.41,8090,78.3,1.08,15,높음
실리콘금형,160,6.7,4.74,100,4.3,4.25,15,높음
하이퍼밀,160,1.8,1.21,110,1.0,0.91,9,중간
사출공장,140,1.5,1.11,230,5.7,2.56,15,높음
3D프린터부품,280,4.7,1.82,210,3.3,1.71,15,높음
3D프린터교육,250,4.2,1.79,250,11.1,4.67,15,높음
캐드기초,290,0.3,0.12,130,0.3,0.24,15,높음
MOCKUP,3340,1.5,0.05,2280,0.3,0.02,15,높음
자동차모형,690,4.1,0.62,3040,50.0,1.7,15,높음
주택설계,340,12.4,3.93,480,18.8,4.13,15,높음
턴밀,100,0.0,0.0,130,0.0,0.0,3,낮음
시제품,2460,3.4,0.15,2240,5.8,0.28,15,높음
금형학과,10,0.0,0.0,20,0.0,0.0,2,중간
3D프린터레진,190,1.5,0.88,200,1.3,0.69,15,높음
쓰리디프린터,140,0.9,0.65,630,23.5,4.11,15,높음
3D도면프로그램,110,0.5,0.48,80,0.0,0.0,10,중간
AUTODESK,6010,0.9,0.02,920,1.3,0.16,15,높음
NX8.5,100,0.5,0.52,30,0.0,0.0,12,중간
전산응용기계제도기능사,3710,9.2,0.3,4570,18.0,0.46,15,높음
사출성형,850,2.3,0.27,660,0.7,0.11,15,높음
3D프린터목업,60,1.5,2.37,10,3.3,20.84,15,높음
QDM금형,120,1.5,1.41,80,0.7,0.96,14,중간
CNC선반학원,10,0.3,2.41,40,3.3,8.39,7,중간
플라스틱사출제작,< 10,0.7,14.52,10,0.0,0.0,12,중간
3D금형,< 10,0.1,1.6,20,1.0,5.27,14,높음
PCB개발업체,< 10,0.7,16.67,< 10,0.0,0.0,3,높음
PLC제어,490,2.4,0.53,340,2.7,0.87,15,높음
코딩강사,140,0.6,0.45,280,5.3,2.1,15,높음
코딩교육,2190,10.2,0.51,2980,44.2,1.47,15,높음
인공지능,23700,9.0,0.04,25000,98.8,0.41,15,높음
기계요소설계,340,0.2,0.07,200,0.0,0.0,15,높음
STL파일,610,1.1,0.2,250,1.0,0.41,15,높음
DWG,3820,8.6,0.25,2340,1.3,0.07,14,중간
마스터캠X9,80,0.9,1.26,50,0.0,0.0,4,낮음
플라스틱제조,170,2.7,1.91,250,9.8,4.34,15,높음
판금설계,80,0.3,0.44,60,0.5,0.79,15,높음
주택설계프로그램,70,4.1,5.59,60,2.3,3.85,5,중간
캐드도면,2590,4.9,0.21,2650,4.3,0.18,15,높음
CNC가공업체,80,2.1,2.76,90,6.7,7.94,15,높음
3D프린터의뢰,80,3.1,3.52,100,12.5,12.38,15,높음
무료3D프로그램,180,0.7,0.42,60,0.0,0.0,9,중간
3D프린터제품,40,0.7,1.97,40,2.3,5.08,15,높음
프레스금형설계,100,0.5,0.6,90,1.3,1.39,15,높음
3D출력,140,4.5,3.22,130,11.4,9.88,15,높음
UG,1500,1.9,0.14,3210,0.8,0.03,15,높음
시제품제작업체,1930,2.3,0.15,70,2.5,4.17,15,높음
몰드베이스,220,1.4,0.73,210,0.5,0.26,14,중간
실리콘사출,100,4.3,4.61,100,9.0,10.23,15,높음
오토캐드정품,80,0.4,0.6,90,3.3,3.92,11,중간
3D프린터창업,60,0.5,0.81,80,1.0,1.27,15,높음
3D프린팅회사,40,1.1,2.76,70,0.0,0.0,15,높음
CNC자격증,70,0.5,0.6,120,0.0,0.0,9,중간
유니그래픽스,80,0.1,0.2,30,0.0,0.0,14,중간
회로개발,50,0.9,2.19,50,3.0,6.0,15,높음
3D프린터출력대행,280,5.3,1.98,300,25.0,8.17,15,높음
의료기제작,< 10,0.3,11.12,10,0.0,0.0,3,높음
사출금형업체,10,1.1,8.94,< 10,0.3,4.77,15,높음
플라스틱제작,300,11.4,4.34,500,32.2,7.22,15,높음
3D프린터자격증,1770,11.3,0.72,3380,81.5,2.58,15,높음
드론자격증국비,1160,35.8,3.48,3380,151.2,4.9,8,중간
MCT학원,10,1.3,9.0,40,2.3,5.43,14,중간
마스타캠,40,0.8,1.72,50,0.0,0.0,14,높음
워킹목업,130,1.7,1.41,20,1.0,4.0,15,높음
기계가공기능장,300,1.3,0.48,450,2.5,0.62,11,중간
3D랜더링,220,1.6,0.79,160,2.7,1.73,15,높음
사출금형학원,< 10,1.0,14.64,10,0.3,3.71,6,중간
사출금형산업기사,240,0.8,0.35,320,2.3,0.86,14,중간
건축모형제작,190,8.9,5.05,280,17.6,6.35,15,높음
FDM프린터,90,0.3,0.31,70,1.8,2.66,15,높음
3D프린터전시회,20,0.1,0.34,20,0.0,0.0,13,중간
정밀3D프린터,20,0.4,1.82,< 10,0.3,6.67,15,높음
오토캐드무료다운,6030,143.8,2.57,2370,77.9,3.64,4,낮음
머시닝센터교육,20,1.0,4.94,30,1.7,5.96,11,중간
건축설계도면,530,3.3,0.69,1140,2.0,0.2,15,높음
제품설계프로그램,< 10,0.7,10.53,10,0.0,0.0,3,높음
원스톱솔루션,30,0.0,0.0,10,0.0,0.0,1,중간
원스톱시스템,40,0.0,0.0,40,0.0,0.0,2,중간
PCB생산업체,10,0.3,4.17,10,0.0,0.0,3,높음
SMT회사,10,0.9,6.53,30,0.0,0.0,3,낮음
OEM회사,30,1.7,4.39,40,0.3,0.86,3,높음
산업디자인전문회사,310,0.5,0.22,30,0.0,0.0,15,높음
캠툴,20,0.0,0.0,20,0.0,0.0,3,높음
턴밀가공,20,0.0,0.0,< 10,0.0,0.0,3,높음
패턴가공,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
워크엔씨,10,0.0,0.0,20,0.0,0.0,2,중간
자동드릴,30,0.0,0.0,110,2.0,2.0,11,중간
전극가공,30,0.3,0.86,20,0.0,0.0,3,높음
4축,20,0.3,1.27,20,0.0,0.0,3,높음
UG/NX,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
금형가공,80,0.5,0.72,70,2.0,2.67,15,높음
금형박사,30,0.7,2.67,10,0.0,0.0,3,높음
HYPERMILL,30,0.3,0.99,10,0.0,0.0,3,높음
3축가공,20,0.3,1.97,< 10,0.0,0.0,3,높음
성형해석,40,0.0,0.0,20,0.0,0.0,13,중간
부품가공,70,1.1,1.65,30,1.5,4.84,15,높음
밀링가공,300,2.2,0.77,220,1.0,0.46,15,높음
GIBBSCAM,10,0.4,2.86,10,0.0,0.0,2,중간
디자인목업,150,1.2,0.86,70,0.3,0.5,15,높음
모형,1340,4.1,0.33,2100,13.3,0.68,15,높음
피쳐캠,10,0.0,0.0,10,0.0,0.0,2,중간
POWERMILL,90,0.5,0.57,20,0.0,0.0,15,높음
NXCAM,70,0.5,0.73,60,0.3,0.55,12,중간
MASTERCAM,210,1.7,0.9,70,0.8,1.12,15,높음
GIBBS,100,0.0,0.0,110,0.0,0.0,2,중간
FEATURECAM,10,0.0,0.0,< 10,0.0,0.0,2,중간
EDGECAM,60,1.4,2.67,10,0.0,0.0,3,높음
ZWCAM,10,0.9,6.25,10,1.0,10.0,1,중간
WORKNC,60,2.2,4.35,20,0.0,0.0,5,중간
SURFCAM,10,0.0,0.0,10,0.0,0.0,1,중간
복합기가공,10,0.0,0.0,< 10,0.7,25.0,3,높음
밀턴,190,0.3,0.19,630,0.0,0.0,3,높음
QUICKCAM,20,1.0,4.77,< 10,0.0,0.0,3,높음
절삭가공,370,1.5,0.4,200,2.0,1.05,15,높음
정밀가공,260,4.8,1.8,140,2.8,2.03,15,높음
캐드캠,350,1.5,0.45,530,7.7,1.57,15,높음
퀵캠,40,0.5,1.2,20,0.6,2.44,6,중간
엣지캠,40,3.1,8.07,50,0.0,0.0,3,낮음
자동선반,210,3.2,1.68,280,3.5,1.37,15,높음
서프캠,30,8.3,34.49,140,0.0,0.0,1,중간
깁스캠,50,0.8,1.74,60,0.0,0.0,5,중간
다축가공,40,0.3,0.83,< 10,0.3,8.34,3,높음
로터리가공,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
신제품개발,200,1.3,0.69,120,0.0,0.0,15,높음
발명품제작,10,1.6,9.64,30,3.4,9.17,15,높음
MOCK-UP,400,0.6,0.18,60,0.0,0.0,14,중간
플라스틱사출성형,100,0.4,0.37,100,1.5,1.58,15,높음
