연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
STL파일,620,0.6,0.11,280,0.0,0.0,15,높음
설계,5190,1.8,0.04,9170,0.7,0.01,15,높음
3D프린터대행,150,4.3,3.03,130,11.0,8.4,15,높음
상표출원,2090,25.4,1.24,1120,26.5,2.44,15,높음
실험실용품,140,10.0,6.9,80,14.6,17.79,15,높음
방열판제작,10,1.2,6.86,20,2.5,11.37,10,중간
기구개발,100,0.1,0.14,80,0.0,0.0,15,높음
전자제품제작,10,0.4,2.5,10,0.3,2.78,15,높음
ABS가공,40,0.9,2.4,20,1.8,6.74,15,높음
기계제작업체,10,1.0,5.89,< 10,0.0,0.0,15,높음
3D프린터설계제작,10,1.7,9.26,20,0.0,0.0,3,높음
도면,5060,3.9,0.08,3650,4.7,0.14,15,높음
기계설계,1740,3.9,0.23,1790,7.0,0.41,15,높음
실험도구,910,17.5,1.98,1110,58.0,5.36,15,높음
상표등록조회,7200,28.4,0.41,14600,188.5,1.37,15,높음
특허출원비용,680,3.9,0.6,650,12.0,1.94,15,높음
마스크장비,50,2.3,4.1,140,2.0,1.43,15,높음
과학재료,100,8.3,8.44,280,38.4,14.77,15,높음
과학놀이,300,4.0,1.38,950,22.0,2.43,15,높음
나무젓가락고무줄총만들기,10,0.0,0.0,30,0.0,0.0,2,중간
H/W,560,0.0,0.0,280,0.0,0.0,2,중간
기발한발명품,170,0.1,0.09,340,0.0,0.0,15,높음
기술개발,570,0.1,0.02,360,0.0,0.0,15,높음
프로토타입제작,70,0.1,0.1,40,0.3,0.84,15,높음
MOCK-UP,490,0.1,0.03,70,0.0,0.0,15,높음
특허시제품제작,< 10,0.1,2.23,< 10,0.0,0.0,15,높음
워킹목업,170,2.4,1.4,40,1.0,2.13,15,높음
제품디자인,2620,36.5,1.42,1960,22.5,1.19,15,높음
제품디자인회사,870,13.3,1.57,320,12.3,3.94,15,높음
시제품개발,90,1.8,1.96,30,0.7,2.03,15,높음
아이디어상품제작,30,0.4,1.38,50,3.5,6.94,15,높음
목업디자인,130,0.6,0.46,50,0.0,0.0,15,높음
상품개발,270,1.1,0.43,220,0.3,0.16,15,높음
선박모형,60,1.9,3.17,70,4.8,7.43,15,높음
설치미술,1040,3.0,0.3,1770,0.7,0.04,14,높음
기구설계업체,10,0.5,4.11,< 10,0.0,0.0,15,높음
도면제작,150,1.0,0.7,80,2.7,3.18,15,높음
디자인설계,90,1.0,1.08,60,0.0,0.0,15,높음
SLS,1230,0.7,0.07,3060,0.0,0.0,15,높음
3DPRINTER,240,2.3,0.96,150,4.0,2.76,15,높음
3D프린터건축,410,1.0,0.27,600,1.0,0.19,14,높음
3D프린터샘플,40,1.4,3.57,10,1.3,8.34,14,높음
3D프린터시제품,80,2.9,3.54,40,4.0,9.76,15,높음
3D프린터출력소,10,0.8,4.71,10,0.3,2.78,15,높음
3D프린트,950,8.8,0.94,1040,27.9,2.85,15,높음
3D프린팅대행,80,1.9,2.46,40,5.0,11.91,15,높음
3D프린팅서비스,30,1.9,6.45,10,0.7,5.56,15,높음
피큐어제작,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
립글로즈만들기,< 10,0.0,0.0,70,0.3,0.46,3,높음
달의모양,240,0.0,0.0,770,0.0,0.0,3,높음
P형1급수신기회로,< 10,0.0,0.0,< 10,0.5,12.5,2,중간
