연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
건축캐드,770,2.5,0.34,1630,27.3,1.77,15,높음
카티아학원,70,1.7,2.35,130,11.6,8.83,15,높음
CAD시스템,20,0.1,0.34,10,0.0,0.0,15,높음
NXUG,430,1.7,0.41,200,1.3,0.63,15,높음
도면복사,30,1.7,5.61,20,0.0,0.0,15,높음
일러스트그리기,460,2.1,0.49,1200,9.3,0.84,15,높음
싸인만들기,1260,24.8,2.01,3590,214.6,6.28,15,높음
포토샵부업,40,1.3,3.81,60,1.7,2.78,15,높음
CAD출력,60,0.1,0.2,20,0.0,0.0,15,높음
디자인판매,100,2.4,2.43,160,7.7,4.8,15,높음
인테리어3D,700,1.1,0.17,810,7.0,0.93,15,높음
인테리어도면,660,1.6,0.26,880,25.3,3.02,15,높음
그림의뢰,40,0.9,2.12,110,12.0,11.54,15,높음
귀여운그림,1140,0.8,0.08,3940,3.5,0.1,15,높음
그림그려주는곳,20,2.6,11.82,100,13.3,14.19,15,높음
CAD알바,80,1.6,2.0,110,2.0,1.86,15,높음
인벤터,5520,6.2,0.12,2320,18.1,0.83,15,높음
DWGTRUEVIEW,4300,25.6,0.61,240,0.0,0.0,9,중간
준공도면,250,0.2,0.09,110,0.0,0.0,14,높음
함체제작,40,3.5,7.23,10,1.0,8.34,15,높음
고무사출,110,1.6,1.46,110,2.3,2.15,15,높음
캐드인쇄,720,0.1,0.02,300,0.3,0.12,15,높음
음성녹음알바,130,3.8,2.93,1020,69.3,7.14,13,중간
설계프로그램,500,1.8,0.37,340,4.6,1.42,15,높음
가공업체,130,4.3,3.17,70,1.7,2.49,15,높음
캐드프리랜서,30,1.5,3.73,80,0.0,0.0,10,중간
대형복사,80,2.2,2.61,400,14.0,3.63,15,높음
QDM금형,150,3.7,2.55,70,0.0,0.0,15,높음
전산응용건축제도기능사실기,2490,3.7,0.16,2920,5.3,0.2,15,높음
그림주문제작,20,0.2,0.87,90,8.0,9.53,15,높음
캐드알바,250,4.6,1.87,420,18.3,4.68,15,높음
대안캐드,340,5.3,1.57,110,6.2,5.53,15,높음
CAD,9440,25.1,0.28,8890,43.5,0.52,15,높음
성우알바,30,0.9,2.27,160,16.0,11.07,14,높음
부산조감도,40,1.0,2.78,110,1.0,0.92,15,높음
조감도제작,330,3.0,0.94,120,3.3,3.01,15,높음
기계설계회사,30,1.1,2.97,40,0.0,0.0,15,높음
일러스터,440,0.3,0.07,600,2.3,0.4,15,높음
안내도제작,< 10,0.3,3.71,10,2.0,16.67,15,높음
3D프리랜서,30,1.7,4.91,10,0.3,2.39,15,높음
인테리어설계도면,10,0.2,1.21,10,0.0,0.0,15,높음
AUTOCADVIEWER,400,1.3,0.33,10,0.3,2.57,8,중간
A1도면출력,20,0.5,1.85,< 10,0.0,0.0,15,높음
일러스트삽화,30,0.7,1.89,30,1.0,2.86,15,높음
캐드,15500,41.6,0.28,20600,132.5,0.68,15,높음
출판사알바,40,0.6,1.18,100,1.0,0.97,13,중간
워드알바,70,2.5,3.25,180,9.3,5.25,15,높음
동화일러스트,260,2.5,0.99,620,11.3,1.88,15,높음
알루미늄케이스제작,90,3.9,4.21,100,7.1,7.15,15,높음
재택타이핑알바,270,3.7,1.45,910,12.8,1.49,15,높음
문서작성알바,840,16.8,2.07,3320,84.1,2.7,15,높음
반책제본,60,0.7,1.22,20,0.0,0.0,14,높음
일러스트로고,320,1.3,0.4,280,11.7,4.41,15,높음
삽화작가,40,1.5,3.09,80,1.0,1.24,15,높음
외함제작,30,1.8,5.32,10,2.3,17.95,15,높음
스케치업,29000,15.1,0.06,10800,57.8,0.57,15,높음
타이핑,2240,2.1,0.1,4390,2.7,0.07,15,높음
간이금형,90,1.4,1.53,30,0.0,0.0,15,높음
PDFDWG변환,700,4.2,0.6,70,0.0,0.0,7,중간
발명품,3380,4.7,0.15,9710,5.3,0.06,15,높음
제품케이스제작,10,0.9,6.23,< 10,1.4,17.86,15,높음
준공도서,330,0.9,0.29,170,1.3,0.8,15,높음
용기제작,90,4.7,5.15,100,10.7,10.16,15,높음
스케치업외주,20,1.5,5.29,40,2.7,6.84,11,중간
도면대행,30,1.1,3.24,30,1.6,4.32,15,높음
도면캐드,40,0.3,0.73,50,0.0,0.0,3,높음
웹디자인기능사,7010,8.8,0.14,8900,57.3,0.69,15,높음
인물일러스트,190,0.4,0.22,390,0.7,0.19,15,높음
ATC자격증,450,0.5,0.13,330,0.0,0.0,15,높음
조경설계,550,2.1,0.39,670,7.0,1.1,15,높음
관광지도제작,20,1.2,6.0,< 10,0.7,11.12,15,높음
원고작성,150,1.3,0.93,120,1.0,0.86,15,높음
영상편집학원,1550,27.5,1.85,2980,143.4,5.05,15,높음
개발,8990,1.5,0.02,13500,0.3,0.01,15,높음
레포트업체,< 10,0.0,0.0,< 10,0.3,8.34,9,중간
일러스트에이전시,20,0.4,2.25,20,0.3,1.76,14,높음
인벤터학원,30,1.2,3.34,30,0.3,0.93,15,높음
A5출력,40,2.0,5.13,30,0.8,2.15,15,높음
프로그래밍알바,30,0.3,0.77,50,1.7,3.41,15,높음
3D프린터설계제작,10,1.7,9.26,20,0.0,0.0,3,높음
종합안내도,20,0.1,0.38,10,0.0,0.0,13,중간
달력일러스트,110,0.1,0.12,130,0.3,0.21,15,높음
사진제작,70,0.5,0.66,210,9.7,4.81,15,높음
기계설계산업기사학원,60,1.9,3.28,110,8.3,7.87,15,높음
방열판제작,10,1.2,6.86,20,2.5,11.37,10,중간
설계알바,30,1.1,3.91,50,0.0,0.0,15,높음
일본어알바,70,1.6,2.12,180,8.0,4.47,15,높음
전자제품제작,10,0.4,2.5,10,0.3,2.78,15,높음
