연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
CADCAM,590,1.9,0.33,490,9.3,2.0,15,높음
라이노교육,20,0.3,1.29,< 10,0.0,0.0,15,높음
아이디어상품제작,30,0.4,1.38,50,3.5,6.94,15,높음
아이디어상품화,10,0.1,0.67,10,0.3,2.28,15,높음
금형설계교육,10,0.1,0.96,< 10,0.0,0.0,10,중간
빅데이터,28300,16.1,0.06,25700,62.0,0.26,15,높음
빅데이터교육,720,8.2,1.17,580,20.1,3.65,15,높음
인공지능교육,1080,3.3,0.32,890,3.6,0.42,15,높음
자동화설비제작,90,6.1,6.46,60,2.0,3.34,15,높음
코딩자격증,3800,9.1,0.25,11500,81.0,0.75,15,높음
CAM,2700,1.9,0.08,3180,3.3,0.11,15,높음
마스터캠교육,40,4.2,8.7,60,5.7,9.29,9,중간
NC가공,360,1.2,0.34,240,4.3,1.83,15,높음
부품가공,70,3.1,4.42,30,1.2,3.81,15,높음
디자인업체,520,22.9,4.4,270,10.8,4.09,15,높음
기계설비,1510,3.7,0.25,970,0.7,0.08,15,높음
드론국비지원,250,6.0,2.41,610,32.3,5.67,12,중간
정보처리기능사,12400,9.1,0.08,21200,2.0,0.01,15,높음
4축가공,20,1.3,5.63,10,1.0,5.56,14,높음
건축모형제작,230,10.7,4.55,380,18.1,4.85,15,높음
제품기구설계,< 10,0.3,8.89,< 10,0.0,0.0,15,높음
3D출력,160,4.8,3.0,130,16.8,12.64,15,높음
전기기능사,15500,67.7,0.46,35200,380.3,1.14,15,높음
기계설계용역,20,0.7,2.3,10,0.0,0.0,15,높음
기구설계업체,10,0.5,4.11,< 10,0.0,0.0,15,높음
NX학원,10,1.8,16.0,20,0.3,1.67,7,중간
시험기제작,10,0.5,3.59,< 10,0.0,0.0,15,높음
식품건조기,3070,22.3,0.75,24500,589.4,2.6,15,높음
셀프세차장창업,1450,55.4,4.0,6640,462.2,7.41,15,높음
이송장치,80,1.4,1.61,50,1.8,3.65,15,높음
압력용기제작,90,6.1,6.75,20,1.3,4.5,15,높음
3D프린터출력대행,250,6.7,2.7,180,17.7,10.28,15,높음
3D도면,920,4.2,0.48,870,16.3,1.96,15,높음
철구조물,310,7.7,2.54,320,9.9,3.16,15,높음
머시닝센터교육,30,1.3,4.42,10,0.7,4.45,13,중간
