relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
스텐박스제작,20,20,0.9,0.7,5.11,2.57,6,중간
구명환보관함,10,< 10,0.8,0.0,9.02,0.0,14,높음
기계설계회사,50,30,1.5,0.3,3.41,0.93,15,중간
복합CNC,20,10,1.0,0.0,3.85,0.0,15,높음
실리콘3D프린팅,20,10,3.1,0.0,14.05,0.0,8,중간
랜더링,2790,3050,0.8,0.0,0.04,0.0,15,중간
지그제작업체,20,10,0.6,1.0,2.86,12.5,15,높음
단자함,590,780,3.3,0.8,0.6,0.11,15,중간
제품개발업체,10,10,0.9,0.0,7.88,0.0,15,높음
3D목업,80,20,2.3,3.3,2.89,11.5,15,높음
도어락제작,< 10,< 10,0.7,0.0,16.67,0.0,3,높음
아이디어제품,460,430,2.0,6.8,0.46,1.67,15,높음
3D프린터모델링,370,210,2.1,2.3,0.59,1.09,15,높음
아이디어용품,80,130,2.1,0.3,2.71,0.27,15,높음
지그설계,60,50,0.7,1.0,1.01,2.18,15,높음
의료기기제작,30,10,2.1,0.7,6.27,4.45,15,높음
3D프린트대여,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
융착기임대,10,10,2.9,0.3,19.27,3.71,7,중간
PE소방배관,< 10,< 10,0.3,0.0,11.12,0.0,3,높음
PE수도관,530,560,20.5,31.7,4.32,6.18,15,높음
PEM파이프,20,10,0.7,0.0,3.04,0.0,3,높음
PE부속,90,110,4.1,3.5,4.45,3.28,14,높음
에칭제작,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
메탈책갈피,20,40,0.2,1.0,1.16,2.23,14,높음
개발,8970,11600,1.1,0.3,0.02,0.01,15,중간
정밀3D프린터,10,< 10,0.3,0.0,1.57,0.0,15,중간
투명3D프린팅,< 10,10,1.9,0.7,26.67,6.67,2,중간
알루미늄3D프린팅,10,< 10,3.3,0.0,33.34,0.0,1,중간
3D제품설계,10,10,0.3,0.7,2.18,7.41,13,중간
PE가격,20,20,0.3,2.0,1.12,9.53,15,높음
방열판제작,30,10,2.1,0.7,7.43,4.77,7,중간
대구정밀가공,< 10,< 10,0.8,0.0,11.77,0.0,2,중간
알루미늄박스제작,30,70,1.9,8.3,5.99,12.7,14,높음
모델링알바,20,30,1.1,1.0,4.44,3.45,14,높음
기계설계대행,< 10,10,0.4,1.3,10.0,12.13,15,높음
3DPRO,70,50,30.0,10.6,41.1,20.39,1,낮음
도면,5690,3640,3.5,1.3,0.07,0.04,15,중간
3D프린터시제품,100,20,3.9,1.3,4.16,4.81,15,높음
머시닝센터가공,40,20,0.9,0.0,2.46,0.0,15,높음
정밀가공,260,150,4.1,2.0,1.73,1.36,15,높음
판교3D프린터,< 10,< 10,0.7,0.0,18.19,0.0,3,높음
기구설계업체,10,10,1.6,0.0,13.34,0.0,15,높음
쓰리디프로,20,< 10,6.0,2.6,37.5,29.42,1,중간
밀링가공,370,230,1.5,0.5,0.44,0.24,15,중간
부품제작,20,20,0.5,2.0,1.95,10.0,15,높음
CNC선반가공업체,< 10,< 10,0.6,0.3,7.5,5.56,15,높음
플라스틱시제품,10,10,1.1,0.0,5.76,0.0,15,높음
3D프린터외주,90,90,11.2,10.5,12.13,12.98,4,낮음
부산금형,30,30,4.4,0.9,16.42,2.82,2,낮음
창원시제품제작,< 10,< 10,0.1,0.0,2.67,0.0,15,높음
메탈3D프린팅,20,< 10,0.3,0.0,1.53,0.0,13,중간
드론기체,20,20,0.0,0.0,0.0,0.0,1,중간
부산기계설계,< 10,10,0.0,0.0,0.0,0.0,15,높음
기계설계,1430,1170,3.1,5.3,0.24,0.46,15,중간
드론개발,80,100,1.3,0.0,1.59,0.0,15,높음
