연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
나무절단판매,10,1.7,15.56,10,0.7,4.17,4,낮음
나무컷팅,30,0.2,0.69,100,0.0,0.0,15,높음
MDF커팅,10,0.1,0.62,10,0.0,0.0,15,높음
대전집성목,< 10,0.0,0.0,10,1.3,8.34,3,높음
미송재단,< 10,0.0,0.0,10,0.5,4.55,13,중간
원목제단,< 10,0.0,0.0,10,0.5,5.0,9,중간
목제가공,20,1.1,5.0,30,1.0,2.95,11,중간
목재제단,< 10,0.1,0.9,10,0.0,0.0,14,높음
목재커팅,30,0.4,1.6,50,0.0,0.0,14,높음
나무재단판매,20,2.1,7.36,30,0.3,1.12,12,중간
DIY재단,10,0.1,0.82,20,0.0,0.0,10,중간
MDF절단,20,0.7,3.51,40,1.0,2.57,3,높음
DIY나무재단,10,0.1,1.13,20,1.7,6.42,10,중간
합판컷팅,10,0.5,4.32,30,1.5,5.18,13,중간
집성목재단판매,10,1.9,24.29,< 10,0.3,6.67,9,중간
삼나무재단,20,1.3,4.52,80,0.0,0.0,12,중간
목재가공판매,< 10,0.4,13.64,< 10,0.0,0.0,7,중간
집성목절단,10,0.5,6.2,< 10,0.7,9.53,14,높음
목재컷팅,20,0.5,2.36,40,1.8,3.58,15,높음
합판절단,70,0.5,0.81,160,2.3,1.53,15,높음
목재절단판매,10,0.9,6.56,< 10,0.0,0.0,14,높음
합판재단판매,< 10,0.7,13.64,20,3.3,13.0,9,중간
목제재단,< 10,0.0,0.0,< 10,0.7,8.34,3,높음
절단목재,20,0.3,1.16,30,0.0,0.0,12,중간
인천목재CNC가공,< 10,0.7,33.34,< 10,0.0,0.0,2,중간
인천DIY,< 10,0.0,0.0,30,0.0,0.0,3,높음
서울목재재단,10,0.0,0.0,< 10,0.0,0.0,1,중간
가공목,10,0.0,0.0,40,0.3,0.84,3,높음
가공된나무,10,0.0,0.0,< 10,0.0,0.0,2,중간
DIY책장만들기,< 10,0.2,4.17,< 10,0.0,0.0,5,중간
DIY선반만들기,< 10,0.7,8.34,30,2.7,8.09,3,높음
판재절단,10,0.0,0.0,< 10,0.0,0.0,3,높음
목재재단구입,< 10,1.0,16.67,< 10,0.0,0.0,2,중간
목재공구,80,3.5,4.34,250,20.0,8.48,14,높음
서울목재소,10,0.3,3.04,10,0.4,2.64,3,높음
목재CNC재단,< 10,0.2,3.53,20,1.3,6.67,12,중간
참죽판재,< 10,0.0,0.0,50,0.4,0.77,3,높음
집성판재단,10,3.7,26.36,< 10,0.3,4.17,11,중간
목재NC가공,< 10,0.3,11.43,< 10,0.0,0.0,12,중간
합판제단,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
