연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
인테리어도면,660,1.6,0.26,880,25.3,3.02,15,높음
익스테리어,1030,1.7,0.18,1620,5.3,0.35,15,높음
인테리어사무실,230,4.3,1.87,550,15.0,2.87,15,높음
금형사출,350,5.9,1.71,270,6.0,2.26,15,높음
금형제작,1390,32.9,2.42,2040,82.5,4.22,15,높음
실내인테리어3D,10,0.1,0.57,20,0.0,0.0,15,높음
디자인전문,30,1.5,4.8,10,0.0,0.0,15,높음
휴대폰케이스디자인,10,0.1,0.61,40,0.3,0.82,15,높음
제품디자인사이트,20,0.3,0.99,< 10,0.0,0.0,15,높음
NCT프로그램,20,0.0,0.0,30,0.0,0.0,2,중간
키오스크설계,< 10,0.1,0.77,< 10,0.0,0.0,15,높음
특허상품,70,0.2,0.28,70,0.0,0.0,15,높음
창업플랫폼,60,1.4,2.16,30,0.0,0.0,15,높음
버스디자인,30,0.7,2.01,50,0.0,0.0,9,중간
CC&C,< 10,1.7,33.34,< 10,0.9,14.29,1,중간
C&C,930,1.0,0.12,1950,1.3,0.08,15,높음
설계디자인,40,0.1,0.18,50,0.0,0.0,13,중간
발명아이디어,2480,2.1,0.09,11200,2.7,0.03,15,높음
로봇개발,80,0.4,0.5,120,0.0,0.0,15,높음
자동차설계,160,0.3,0.17,330,0.0,0.0,15,높음
의자설계,20,0.0,0.0,20,0.0,0.0,3,높음
융합디자인,170,0.7,0.39,180,0.0,0.0,3,높음
씨앤씨디자인,10,0.0,0.0,10,0.0,0.0,2,중간
SLS,1230,0.7,0.07,3060,0.0,0.0,15,높음
피큐어제작,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
선박모형,60,1.9,3.17,70,4.8,7.43,15,높음
MOCK-UP,490,0.1,0.03,70,0.0,0.0,15,높음
설치미술,1040,3.0,0.3,1770,0.7,0.04,14,높음
3DPRINTER,240,2.3,0.96,150,4.0,2.76,15,높음
3D프린터건축,410,1.0,0.27,600,1.0,0.19,14,높음
3D프린터샘플,40,1.4,3.57,10,1.3,8.34,14,높음
3D프린터시제품,80,2.9,3.54,40,4.0,9.76,15,높음
특허시제품제작,< 10,0.1,2.23,< 10,0.0,0.0,15,높음
도면제작,150,1.0,0.7,80,2.7,3.18,15,높음
프로토타입제작,70,0.1,0.1,40,0.3,0.84,15,높음
3D프린팅서비스,30,1.9,6.45,10,0.7,5.56,15,높음
3D프린팅대행,80,1.9,2.46,40,5.0,11.91,15,높음
3D프린트,950,8.8,0.94,1040,27.9,2.85,15,높음
워킹목업,170,2.4,1.4,40,1.0,2.13,15,높음
아이디어상품제작,30,0.4,1.38,50,3.5,6.94,15,높음
3D프린터출력소,10,0.8,4.71,10,0.3,2.78,15,높음
기구설계업체,10,0.5,4.11,< 10,0.0,0.0,15,높음
3D제품설계,10,0.1,1.05,< 10,0.0,0.0,15,높음
제품디자인전문회사,80,2.1,2.54,< 10,1.0,16.67,15,높음
완구디자인,20,0.0,0.0,10,1.0,7.15,3,높음
가전디자인,10,0.0,0.0,10,0.0,0.0,3,높음
IT디자인,40,0.0,0.0,80,0.0,0.0,5,중간
유명한제품디자이너,50,0.0,0.0,30,0.0,0.0,2,중간
제품디자인의뢰,< 10,0.2,2.86,10,1.0,9.1,15,높음
컴퓨터디자인,170,0.3,0.16,480,4.0,0.88,15,높음
컴퓨터본체디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
