relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
금속공예배우기,10,40,0.8,0.0,6.39,0.0,7,중간
금속공예공구,10,40,0.6,4.5,3.68,9.24,8,중간
금은세공,20,90,0.2,2.5,0.8,2.75,13,중간
귀금속세공사,20,60,0.0,2.0,0.0,3.28,3,높음
은점토,250,1060,4.2,27.8,1.79,2.73,9,중간
원석가공,40,100,2.7,1.7,5.68,1.75,3,높음
한울공방,20,70,0.0,0.0,0.0,0.0,1,중간
한울귀금속학원,< 10,10,0.0,0.0,0.0,0.0,1,중간
주얼리만들기,10,80,0.0,1.8,0.0,2.25,15,높음
금속디자인,30,110,0.3,1.5,0.93,1.33,15,높음
귀금속세공학원,< 10,10,0.0,0.0,0.0,0.0,5,중간
귀금속가공기능사실기,20,70,0.0,0.5,0.0,0.78,2,중간
공예공방,50,120,0.3,2.0,0.63,1.69,3,높음
금속공예전망,< 10,10,0.0,0.6,0.0,5.89,1,중간
쥬얼리일러스트,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
주얼리포트폴리오,30,20,0.3,0.0,1.02,0.0,3,높음
주얼리취업,10,20,0.3,0.3,2.44,1.67,7,중간
주얼리유학,10,< 10,0.1,0.0,0.73,0.0,12,중간
주얼리세공,10,60,0.3,3.0,1.54,4.69,15,높음
주얼리디자인유학,< 10,10,0.1,0.0,1.34,0.0,15,높음
주얼리디자인공모전,30,40,0.0,0.0,0.0,0.0,1,중간
서울악세사리공방,10,50,0.0,0.5,0.0,1.12,2,중간
서울귀금속,10,110,0.0,0.0,0.0,0.0,3,높음
쥬얼리포트폴리오,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
은공방,150,960,1.4,27.0,0.97,3.04,15,높음
귀금속캐드,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
공예학원,40,190,1.3,7.5,3.37,4.19,15,높음
쥬얼리디자인학원,< 10,10,0.4,1.3,7.36,12.91,11,중간
서울주얼리,30,70,0.0,1.0,0.0,1.39,3,높음
비즈공예학원,< 10,40,1.7,2.0,33.34,4.66,3,높음
귀금속세공원,10,30,0.4,0.4,3.04,1.07,3,높음
보석디자인학원,< 10,20,0.0,2.7,0.0,10.26,11,중간
보석세공학원,10,20,0.4,0.7,4.0,2.57,6,중간
주얼리라이노캐드,10,30,0.6,0.0,3.45,0.0,2,중간
귀금속창업,< 10,110,0.2,0.7,2.37,0.75,14,높음
주얼리공방,120,430,1.4,12.5,1.2,3.1,15,높음
주얼리디자인학원,10,40,0.8,2.9,9.1,7.98,11,중간
주얼리일러스트,< 10,20,0.0,0.0,0.0,0.0,3,높음
쥬얼리샵창업,10,90,0.1,0.0,1.34,0.0,15,높음
인천금속공예,10,20,0.5,0.5,4.17,1.86,2,중간
주얼리자격증,20,110,1.2,0.5,4.88,0.56,2,낮음
주얼리렌더링,< 10,30,0.0,0.0,0.0,0.0,3,높음
주얼리랜더링,10,20,0.0,0.0,0.0,0.0,3,높음
악세사리디자이너,60,170,0.0,0.0,0.0,0.0,15,높음
주얼리국비지원,10,10,0.8,0.0,9.1,0.0,1,중간
주얼리공모전,100,200,2.9,0.4,2.88,0.18,3,높음
악세사리만들기,280,1470,5.8,47.8,2.22,3.53,15,중간
악세사리창업,110,460,1.3,16.4,1.27,3.96,15,높음
귀걸이만들기,510,3030,23.3,252.6,4.81,8.94,15,높음
주얼리라이노,40,40,0.5,1.4,1.29,3.0,2,중간
주얼리아카데미,< 10,10,0.5,0.0,13.64,0.0,6,중간
주얼리캐드학원,< 10,20,0.5,0.0,16.67,0.0,2,낮음
쥬얼리디자이너,150,500,1.0,15.7,0.65,3.33,15,높음
쥬얼리공방,40,230,0.9,9.8,2.06,4.63,15,높음
주얼리창업,40,110,0.9,4.0,2.17,3.97,15,높음
공예학과,100,300,0.0,0.0,0.0,0.0,2,중간
해피핑거스,< 10,10,0.0,0.0,0.0,0.0,1,중간
수공예주얼리,10,10,0.7,0.3,6.07,3.04,3,높음
주얼리학과,20,70,1.2,0.6,6.25,0.77,2,중간
종로보석학원,< 10,20,0.0,0.0,0.0,0.0,2,중간
쥬얼리창업,40,130,0.4,0.7,1.06,0.57,15,높음
서울금속공예,< 10,10,0.0,0.0,0.0,0.0,3,높음
귀금속공예실기,< 10,10,0.0,0.4,0.0,3.23,3,높음
쥬얼리학원,10,100,1.0,13.2,5.39,14.49,9,중간
쥬얼리캐드,10,70,0.7,0.0,4.35,0.0,8,중간
귀금속디자이너,< 10,30,0.3,0.0,4.77,0.0,3,높음
주얼리드로잉,< 10,10,0.4,0.0,7.15,0.0,3,높음
보석렌더링,< 10,10,0.0,1.0,0.0,7.15,1,중간
금속학원,< 10,< 10,0.0,0.7,0.0,13.34,3,높음
수공예은반지,70,960,2.5,45.5,3.49,4.96,15,높음
수제악세사리,20,90,0.3,3.0,1.52,3.49,15,높음
주얼리교육,< 10,20,0.3,0.0,3.71,0.0,3,높음
주얼리CAD,< 10,< 10,0.6,0.0,10.0,0.0,2,중간
