연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
설계사무소,560,5.7,1.04,590,11.7,2.03,15,높음
국산캐드,110,3.5,3.23,40,3.0,7.15,14,높음
도면해독,210,0.4,0.18,180,0.0,0.0,14,높음
대구3D프린트,< 10,0.0,0.0,< 10,0.0,0.0,10,중간
실내건축디자인,320,0.9,0.31,580,6.7,1.18,15,높음
사출금형산업기사,370,3.2,0.9,430,6.0,1.43,12,중간
건축설계,1810,11.3,0.65,1920,27.8,1.53,15,높음
마스터캠교육,40,4.2,8.7,60,5.7,9.29,9,중간
손해,1390,0.2,0.02,2760,0.3,0.02,12,중간
캐드뷰어,5720,10.9,0.2,290,0.3,0.12,15,높음
기계설계,1740,3.9,0.23,1790,7.0,0.41,15,높음
설계대행,10,0.5,4.11,< 10,0.3,3.71,15,높음
3D프린터회사,140,1.9,1.41,220,5.3,2.51,15,높음
유망자격증,920,2.5,0.29,1580,19.0,1.29,15,높음
인테리어어플,1020,7.0,0.71,3080,46.1,1.63,15,높음
DWG,3940,11.8,0.31,2420,2.3,0.11,14,높음
기계도면,290,0.9,0.3,180,0.3,0.19,15,높음
캐드마스,210,3.9,1.79,40,0.5,1.14,14,높음
사출금형학원,< 10,1.5,16.67,< 10,0.0,0.0,3,높음
사출금형설계기사,150,1.5,1.03,140,1.0,0.76,13,중간
금형공부,< 10,0.0,0.0,< 10,0.9,11.12,1,중간
오토캐드영구,100,2.0,2.09,30,0.7,1.97,14,높음
선반가공,1050,6.3,0.62,1860,24.0,1.4,15,높음
무대미술,260,0.6,0.24,490,3.9,0.86,15,높음
전시디자인,450,3.5,0.79,380,4.3,1.19,15,높음
오토캐드영구버전,90,2.0,2.26,30,0.3,1.15,12,중간
플라스틱사출,1560,37.1,2.45,2400,70.3,3.05,15,높음
DWGPDF변환,3630,13.9,0.39,760,0.3,0.05,14,높음
4대보험강의,20,0.1,0.28,< 10,0.0,0.0,15,높음
캐드기초,380,0.7,0.19,230,0.7,0.29,15,높음
건축디자인,880,2.1,0.25,1480,25.9,1.83,15,높음
고무사출,110,1.6,1.46,110,2.3,2.15,15,높음
함체제작,40,3.5,7.23,10,1.0,8.34,15,높음
DWG파일,1660,5.1,0.32,460,0.3,0.08,14,높음
장애인보험,200,0.6,0.3,640,11.5,1.85,15,높음
가공업체,130,4.3,3.17,70,1.7,2.49,15,높음
전산응용건축제도기능사실기,2490,3.7,0.16,2920,5.3,0.2,15,높음
목업제작업체,10,0.4,2.5,10,1.7,12.83,15,높음
DLP프린터,80,0.2,0.24,50,0.3,0.48,15,높음
플라스틱주문제작,80,3.6,4.29,150,16.9,11.33,15,높음
상품디자인,150,1.9,1.24,110,3.0,2.73,15,높음
SLS3D프린터,60,1.4,2.32,30,0.3,1.05,14,높음
3D프린터출력가격,40,1.2,2.67,40,4.0,9.1,15,높음
3D프린터주문제작,60,2.2,3.73,120,19.3,15.98,15,높음
3D프린터모델링,330,0.5,0.17,210,2.3,1.19,15,높음
