연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
CAD교육,70,0.3,0.36,40,2.3,5.99,15,높음
승강기기능사,2760,7.9,0.3,7450,49.0,0.69,15,높음
서울직업학교,190,1.7,0.89,900,14.9,1.7,10,중간
설비보전기사,2350,7.7,0.34,3610,2.3,0.07,12,중간
마스터캠X5,40,1.0,2.13,50,0.3,0.65,3,높음
MASTERCAMX5,20,0.0,0.0,10,0.0,0.0,2,중간
마캠,110,0.3,0.3,100,0.3,0.34,12,중간
솔리드엣지,640,5.9,0.94,290,2.3,0.81,15,높음
국비직업전문학교,220,7.3,3.38,700,26.0,3.97,15,높음
자동차보수도장기능사,420,0.5,0.14,1590,10.7,0.7,15,높음
전기기능장,1980,9.9,0.52,3400,29.3,0.92,15,높음
드론조종사,670,3.1,0.49,1270,40.0,3.31,15,높음
빅데이터분석가,1180,1.3,0.12,1270,8.5,0.71,15,높음
무료빅데이터,410,1.9,0.49,330,6.3,2.02,15,높음
CAM프로그램,200,1.1,0.59,60,0.7,1.02,10,중간
CAD시스템,20,0.1,0.34,10,0.0,0.0,15,높음
기계제작,300,13.3,4.34,280,17.0,6.08,15,높음
전산응용기계제도기능사,4510,6.9,0.16,6200,30.0,0.51,15,높음
전문학사,4470,1.7,0.05,4480,1.0,0.03,15,높음
인천취업,60,0.1,0.12,200,1.6,0.81,15,높음
CNC자격증,80,0.5,0.6,170,0.0,0.0,8,중간
CNC직업전문학교,< 10,0.0,0.0,10,0.0,0.0,3,높음
머시닝,260,0.6,0.23,300,6.0,2.07,15,높음
솔리드웍스CAM,10,0.6,3.04,< 10,0.7,14.29,2,중간
MOCKUP,3570,1.9,0.06,2650,0.3,0.02,15,높음
MYSQL가격,20,0.1,0.53,< 10,0.0,0.0,12,중간
CREO2.0,20,0.0,0.0,10,0.0,0.0,3,높음
AUDIT,7730,0.0,0.0,9860,1.0,0.02,3,높음
IT컨설팅업체,10,0.0,0.0,10,0.0,0.0,14,높음
CREO4.0,30,0.7,2.23,10,0.0,0.0,3,높음
델캠,130,0.0,0.0,80,0.0,0.0,3,높음
CREO라이센스,20,0.0,0.0,< 10,0.0,0.0,2,중간
2D를3D로,30,1.1,3.51,20,0.3,1.52,4,낮음
캐드수업,20,0.3,1.52,30,0.7,1.76,15,높음
CAM프로그래밍,10,0.0,0.0,< 10,0.0,0.0,1,중간
캠가공,30,1.5,5.08,20,0.0,0.0,12,중간
컴퓨터응용기계,70,0.0,0.0,70,0.4,0.5,3,높음
컴퓨터응용선반,90,0.0,0.0,70,0.3,0.43,3,높음
오토캐드직업,10,0.0,0.0,10,0.0,0.0,2,중간
유니그래픽스,80,0.0,0.0,30,0.0,0.0,14,높음
인벤터캠,70,0.0,0.0,50,0.0,0.0,2,중간
카티아기초,70,0.2,0.28,40,0.0,0.0,15,높음
카티아시험,10,0.7,4.45,10,0.0,0.0,3,높음
캐드디자인,30,0.0,0.0,60,0.3,0.41,14,높음
설계기초,10,0.0,0.0,20,0.0,0.0,3,높음
솔리드웍스독학,20,0.4,1.66,10,0.0,0.0,13,중간
캐드실무,80,0.1,0.17,70,0.0,0.0,15,높음
AUTOCAD독학,20,0.2,1.07,< 10,0.0,0.0,8,중간
오토캐드기초,380,0.3,0.09,180,0.0,0.0,15,높음
오토캐드설계,20,0.5,1.99,10,0.0,0.0,8,중간
마캠9.1,20,0.4,1.57,10,0.5,2.86,3,높음
마캠X,< 10,0.4,7.15,< 10,0.0,0.0,3,높음
마캠X6,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
머시닝센터G코드,140,0.0,0.0,400,0.0,0.0,3,높음
밀링실습,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
기계오토캐드,< 10,0.5,10.0,10,0.7,3.93,6,중간
도면설계,120,0.3,0.21,120,0.0,0.0,15,높음
마스터캠X,20,0.0,0.0,20,0.3,1.67,7,중간
마스터캠X6,20,0.3,1.37,10,0.0,0.0,9,중간
공작기계,1900,8.8,0.48,1680,20.1,1.25,15,높음
금형모델링,10,0.3,2.39,< 10,0.0,0.0,3,높음
금형설계취업,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
금형이론,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
MCT머시닝센터,30,0.0,0.0,30,0.0,0.0,3,높음
MOLDWIZARD,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
M코드,320,0.0,0.0,860,0.0,0.0,3,높음
NX8,20,0.0,0.0,20,0.0,0.0,3,높음
NXCAD,70,0.5,0.77,30,0.0,0.0,9,중간
NX설계,10,0.3,2.13,10,0.4,3.34,3,높음
CNC선반기계,10,0.0,0.0,10,0.3,2.39,3,높음
2D캐드,130,0.0,0.0,150,0.0,0.0,15,높음
3차원모델링,150,0.0,0.0,40,0.0,0.0,15,높음
AUTOCAD공부,< 10,0.0,0.0,< 10,0.0,0.0,13,중간
엣지캠,70,0.9,1.27,40,0.0,0.0,4,낮음
MYSQL,5400,1.7,0.04,1600,1.7,0.11,15,높음
CNC가공,2450,20.1,0.85,4130,52.8,1.35,15,높음
컴퓨터응용가공,40,0.0,0.0,60,0.3,0.52,3,높음
피쳐캠,20,0.5,2.5,20,1.0,5.0,2,중간
파워밀2010,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
CNCSOFTWARE,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
퀵캠,50,0.4,0.82,30,0.0,0.0,7,중간
CAMSOFTWARE,10,1.0,12.5,< 10,0.0,0.0,1,중간
FEATURECAM,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
NCG캠,< 10,1.0,50.0,< 10,0.0,0.0,1,중간
CAMTOOL,20,0.0,0.0,10,0.0,0.0,3,높음
SOLIDWORKSCAM,20,0.0,0.0,< 10,0.0,0.0,2,중간
CAM소프트웨어,40,0.7,1.71,10,0.0,0.0,3,높음
부산CNC선반,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
부산MCT,< 10,1.0,11.12,10,0.3,1.76,3,높음
3D캠,10,0.3,2.18,10,0.0,0.0,3,높음
전극모델링,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
프로파일가공,100,1.4,1.34,40,0.3,0.76,15,높음
서스가공,30,0.7,1.91,40,0.0,0.0,15,높음
MCT프로그램,40,0.0,0.0,70,0.0,0.0,1,중간
CNC가공프로그램,50,1.3,2.34,60,0.0,0.0,3,높음
CNC선반가공실무,10,0.7,6.67,< 10,0.0,0.0,3,높음
밀링기계,170,1.5,0.89,280,1.8,0.67,14,높음
CAM350가격,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
2DCAM,< 10,0.3,6.67,< 10,0.0,0.0,3,높음
EDGECAM,50,2.0,3.85,20,0.3,1.24,3,높음
CNC자동선반,100,1.7,1.69,120,3.3,2.78,15,높음
NXCAM,60,0.2,0.26,50,0.0,0.0,12,중간
평택HRD,< 10,0.0,0.0,20,0.0,0.0,0,낮음
기계설계기초,20,0.0,0.0,20,0.0,0.0,8,중간
NC가공,360,1.2,0.34,240,4.3,1.83,15,높음
CAM자격증,50,0.0,0.0,50,0.0,0.0,3,높음
MPS1200,< 10,0.0,0.0,20,0.0,0.0,1,중간
ARTCAM,30,0.0,0.0,30,0.7,1.97,3,높음
CNC공작기계,190,2.1,1.12,80,0.3,0.42,15,높음
파워밀가격,20,0.7,3.51,20,0.7,3.04,3,높음
NX7.5,60,1.6,2.7,30,0.0,0.0,4,낮음
CNC복합기,100,1.1,1.05,150,1.8,1.13,15,높음
TEBIS,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
CFD-ACE,< 10,0.5,12.5,< 10,0.0,0.0,2,중간
AUTOFORM,60,0.0,0.0,20,0.0,0.0,1,중간
EUKLID,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
RAPIDFORM,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
VOLOVIEW,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
SURFCAM,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
KEYSHOTPRO,20,0.0,0.0,< 10,0.0,0.0,2,중간
기계구조해석,< 10,0.1,2.0,< 10,0.0,0.0,14,높음
CIMATRON,70,0.6,0.82,20,0.0,0.0,7,중간
캐드공부,60,0.1,0.21,80,0.7,0.82,15,높음
마스터캠교재,< 10,0.5,7.7,20,0.0,0.0,2,중간
부산CNC교육,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
NXNASTRAN,20,0.0,0.0,10,0.0,0.0,3,높음
5축캠,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
도면자동화,10,0.0,0.0,< 10,0.0,0.0,1,중간
몰드림,< 10,3.0,50.0,10,0.0,0.0,1,중간
지멘스소프트웨어,40,0.7,1.57,30,0.0,0.0,3,높음
자동설계,20,1.9,8.58,10,0.5,2.86,2,중간
지멘스파트너,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
솔리드엣지체험판,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
CADIANS,10,0.5,5.0,< 10,0.0,0.0,2,중간
POWERMILL,120,0.4,0.34,50,0.0,0.0,15,높음
CAM가공,30,0.3,0.99,10,0.0,0.0,12,중간
3D패턴,20,0.0,0.0,20,0.3,1.45,3,높음
입체패턴,50,0.0,0.0,100,0.3,0.35,15,높음
STARCCM,120,0.0,0.0,40,0.0,0.0,3,높음
솔리드웍스자격증시험,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
CORELDRAWX7,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
라이노캠,20,0.5,2.13,10,2.0,15.39,2,중간
3D라이브러리,30,0.0,0.0,< 10,0.0,0.0,3,높음
CADMEL,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
이지메크,20,5.0,20.84,< 10,0.0,0.0,1,중간
UGCAM,10,0.3,1.97,< 10,0.0,0.0,3,높음
캠교육,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
CADCAM학원,< 10,0.3,4.17,10,0.0,0.0,3,높음
