keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
아이디어제품,2940,2620,2330,2070,1780,1510,1230,970,730,580
개발대행,690,500,400,340,260,220,190,170,150,140
H/W개발,360,340,260,70,70,70,70,70,70,70
압력용기제작,880,710,590,460,350,290,260,230,210,180
캡스톤디자인제작,180,160,100,70,70,70,70,70,70,70
3D프린팅대구,150,70,70,70,70,70,70,70,70,70
금속모형제작,250,140,80,70,70,70,70,70,70,70
시제품제작지원,2000,1320,1200,1110,1020,960,870,790,700,610
금속시제품제작,70,70,70,70,70,70,70,70,70,70
캡스톤디자인아이디어,580,170,140,70,70,70,70,70,70,70
대구시제품,1030,890,400,70,70,70,70,70,70,70
보드개발,1920,1450,1100,1000,810,500,300,220,130,110
워킹목업제작,1240,1170,1100,1050,900,720,660,520,350,260
시제품업체,1500,1420,1270,1050,960,710,530,510,490,470
HP,3000,2010,1740,1480,1230,1020,850,710,660,610
캡스톤작품,160,70,70,70,70,70,70,70,70,70
발명,1720,1580,910,510,370,300,260,230,200,170
전자졸업작품,750,410,330,70,70,70,70,70,70,70
대전PCB,630,440,160,140,110,90,80,70,70,70
광주PCB,110,100,80,70,70,70,70,70,70,70
거리감지센서,1210,820,310,230,120,80,70,70,70,70
R&D,4610,3550,2350,1650,1130,930,830,740,670,600
대전스마트팩토리,170,100,90,70,70,70,70,70,70,70
포토다이오드,1450,1160,730,500,430,370,290,230,120,90
스마트지팡이,280,240,160,110,100,90,80,70,70,70
스마트창문,390,330,260,200,150,100,70,70,70,70
3D프린터무드등,260,170,130,70,70,70,70,70,70,70
드론졸업작품,70,70,70,70,70,70,70,70,70,70
전주시제품제작,1170,950,590,70,70,70,70,70,70,70
전주시제품,980,890,70,70,70,70,70,70,70,70
대구라즈베리파이,340,80,70,70,70,70,70,70,70,70
발명품아이디어,2970,2300,1810,1280,1030,830,690,570,460,370
광주시제품,1030,980,890,70,70,70,70,70,70,70
전자과졸업작품,750,590,500,290,240,220,180,160,120,90
대구PCB,240,110,100,70,70,70,70,70,70,70
공대졸업작품,460,270,170,170,140,140,120,120,100,90
목업월드,840,720,440,280,150,110,90,70,70,70
기발한발명품,380,300,230,170,120,100,70,70,70,70
모바일로봇,590,500,430,340,250,170,120,90,90,90
창원시제품제작,1130,930,700,310,230,110,100,70,70,70
목업폰,710,440,340,260,180,140,110,90,80,70
졸업작품제작,4840,4450,4130,3600,2940,2560,2290,1880,1540,1240
전기과졸업작품,530,180,160,140,120,110,90,80,70,70
화장품시제품,550,300,100,70,70,70,70,70,70,70
기술개발,1230,1000,820,720,630,540,490,440,400,360
부산피규어제작,1080,710,330,290,200,110,100,90,70,70
목업도장,200,130,100,70,70,70,70,70,70,70
부산3D프린터제작,980,100,70,70,70,70,70,70,70,70
IOT업체,240,220,200,180,160,130,100,80,70,70
경기도3D프린터,990,720,390,70,70,70,70,70,70,70
세종시3D프린터,1090,940,770,70,70,70,70,70,70,70
아이디어제작,1340,920,820,720,630,580,540,490,410,380
ODM제조,70,70,70,70,70,70,70,70,70,70
인천3D프린팅,2390,1900,1530,1200,1020,870,520,360,210,140
인천3D프린터,4170,3450,2970,2400,2080,1810,1440,1190,1070,920
전기졸업작품,400,170,140,70,70,70,70,70,70,70
제주도3D프린터,1050,680,210,70,70,70,70,70,70,70
경기도3D프린팅,1160,1020,810,70,70,70,70,70,70,70
전주3D프린터,1630,1370,1200,1110,1040,860,650,390,150,130
을지로가구제작,100,80,70,70,70,70,70,70,70,70
청계천용접,80,70,70,70,70,70,70,70,70,70
청계천졸업작품,80,70,70,70,70,70,70,70,70,70
을지로주문제작,100,70,70,70,70,70,70,70,70,70
스테인레스제품,310,240,170,70,70,70,70,70,70,70
기계과졸업작품,740,520,410,70,70,70,70,70,70,70
발명대회,1000,450,300,190,170,140,100,80,70,70
울산3D프린터,1820,1460,1220,970,840,690,500,380,270,230
LED조명개발,200,140,90,70,70,70,70,70,70,70
전기자동차개발,120,100,90,70,70,70,70,70,70,70
자전거개발,110,70,70,70,70,70,70,70,70,70
농기계개발,70,70,70,70,70,70,70,70,70,70
